semana_id;etiqueta;inicio;fin;dia;momento;orden;plato
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;lunes;cena;1;Crema de verduras
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;lunes;cena;2;Guisantes con jamón
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;martes;cena;1;Restaurante
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;miércoles;cena;1;Guisantes con jamón
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;miércoles;cena;2;Tortilla
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;jueves;cena;1;Hamburguesa de pollo
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;viernes;cena;1;Puré de verduras con carne
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;sábado;comida;1;Croquetas congeladas
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;sábado;comida;2;Calamares
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;sábado;cena;1;Revuelto de gulas
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;sábado;cena;2;Crema de verduras
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;domingo;comida;1;Puré de verduras con pescado
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;domingo;cena;1;Sopa de pollo
2026-09-21;4ª semana de septiembre (21-27);2026-09-21;2026-09-27;domingo;cena;2;Empanadillas congeladas
