semana_id;etiqueta;inicio;fin;dia;momento;orden;plato
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;lunes;cena;1;Puré de verduras con carne
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;martes;cena;1;Calamares
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;miércoles;cena;1;Crema de verduras
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;jueves;cena;1;Revuelto de gulas
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;viernes;cena;1;Empanadillas congeladas
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;sábado;comida;1;Sopa de pollo
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;sábado;comida;2;Croquetas congeladas
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;sábado;cena;1;Tortilla
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;domingo;comida;1;Puré de verduras con pescado
2026-09-07;2ª semana de septiembre (7-13);2026-09-07;2026-09-13;domingo;cena;1;Guisantes con jamón
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;lunes;cena;1;Crema de verduras
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;lunes;cena;2;Calamares
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;martes;cena;1;Puré de verduras con pescado
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;miércoles;cena;1;Tortilla
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;jueves;cena;1;Sopa de pollo
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;jueves;cena;2;Empanadillas congeladas
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;viernes;cena;1;Croquetas congeladas
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;sábado;comida;1;Puré de verduras con carne
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;sábado;cena;1;Revuelto de gulas
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;domingo;comida;1;Hamburguesa de pollo
2026-09-14;3ª semana de septiembre (14-20);2026-09-14;2026-09-20;domingo;cena;1;Guisantes con jamón
